species,gridlat,gridlon,d18oc,d18osw,t_annual,t_seasonal,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
G. bulloides,-17.5,-78.5,-1.86,0.431409627199173,20.007171630859375,20.007171630859375,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-17.5,11.5,0.043000000000000003,0.7274574041366577,17.404043197631836,17.404043197631836,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-9.5,112.5,-2.62,0.2665706276893616,27.860994338989258,27.860994338989258,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-9.5,113.5,-2.58,0.26328834891319275,27.824003219604492,27.824003219604492,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-9.5,118.5,-2.6833333333333336,0.2636459469795227,28.276748657226562,27.769899368286133,0,1,1,1,1,1,1,1,1,1,0,0
G. bulloides,-9.5,121.5,-2.8049999999999997,0.27606646716594696,27.981552124023438,27.82942008972168,1,1,1,1,1,1,1,1,1,1,1,0
G. bulloides,-8.5,110.5,-2.25,0.26822027564048767,27.86207389831543,27.86207389831543,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-7.5,104.5,-2.58,0.21313542127609253,28.268678665161133,28.268678665161133,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-6.5,10.5,-1.3,0.5688601136207581,25.874832153320312,25.874832153320312,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-6.5,102.5,-2.77,0.2080875188112259,28.397489547729492,28.397489547729492,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-6.5,103.5,-2.53,0.19612175226211548,28.35215950012207,28.35215950012207,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-5.5,103.5,-2.6725,0.15800155699253082,28.339401245117188,28.26075553894043,1,1,1,1,1,0,1,1,1,1,1,1
G. bulloides,-4.5,101.5,-2.5,0.15927010774612427,28.76981544494629,28.76981544494629,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,-3.5,101.5,-2.92,0.15927010774612427,29.002286911010742,28.87602996826172,1,1,1,1,1,1,0,1,0,0,1,1
